Candidate_ID,Name,Age,Gender,Education_Level,Years_Experience,Skills,Applied_Position,Application_Status,Interview_Score,Hiring_Decision,Salary_Expectation,Past_Applications,Num_Certifications,Assessment_Score,Time_To_Hire_Days
1000,Candidate_0,27,Female,Bachelor’s,11,"”HR / Management""",Marketing Specialist,Accepted,83.0,Hired,58092.0,1,2,96.0,12
1001,Candidate_1,43,Male,Bachelor’s,16,"""JavaScript / React""",HR Manager,Rejected,79.0,Not Hired,79941.0,9,5,70.0,59
1002,Candidate_2,35,Female,Bachelor's,12,"""Python / SQL""",Software Engineer,Pending,56.0,Not Hired,92874.0,9,0,69.0,44
1003,Candidate_3,32,Male,Master's,20,"""HR / Management""",HR Manager,Rejected,84.0,Not Hired,61215.0,0,3,95.0,56
1004,Candidate_4,44,Female,Diploma,18,"""Data Science / ML""",HR Manager,Rejected,96.0,Not Hired,52387.0,7,4,69.0,13
1005,Candidate_5,48,Male,Diploma,0,"""Java / Spring""",HR Manager,Rejected,93.0,Not Hired,57065.0,10,0,62.0,54
1006,Candidate_6,29,Female,Master's,19,"""Python / SQL""",HR Manager,Pending,86.0,Not Hired,50838.0,1,4,98.0,38
1007,Candidate_7,22,Non-Binary,Master's,0,"""Java / Spring""",Software Engineer,Accepted,75.0,Not Hired,76305.0,5,3,64.0,32
1008,Candidate_8,33,Female,Master's,19,"""Java / Spring""",Marketing Specialist,Accepted,71.0,Not Hired,100740.0,6,0,88.0,14
1009,Candidate_9,31,Female,Diploma,13,"""HR / Management""",Marketing Specialist,Rejected,75.0,Not Hired,40759.0,10,0,83.0,54
1010,Candidate_10,39,Female,Bachelor's,10,"""JavaScript / React""",Software Engineer,Rejected,98.0,Not Hired,82101.0,10,3,67.0,16
1011,Candidate_11,48,Male,Bachelor's,1,"""Data Science / ML""",Software Engineer,Rejected,79.0,Not Hired,117590.0,5,0,58.0,29
1012,Candidate_12,42,Female,Bachelor's,0,"""JavaScript / React""",Marketing Specialist,Rejected,63.0,Not Hired,40432.0,8,1,66.0,48
1013,Candidate_13,29,Female,Master's,13,"""Python / SQL""",Marketing Specialist,Accepted,91.0,Hired,104696.0,1,0,62.0,50
1014,Candidate_14,44,Male,Bachelor's,3,"""Java / Spring""",Marketing Specialist,Rejected,75.0,Not Hired,76186.0,7,3,83.0,38
1015,Candidate_15,31,Female,Diploma,6,"""Data Science / ML""",Data Analyst,Rejected,100.0,Not Hired,34409.0,7,5,87.0,35
1016,Candidate_16,27,Male,Bachelor's,20,"""HR / Management""",HR Manager,Pending,82.0,Not Hired,36539.0,8,2,59.0,46
1017,Candidate_17,22,Female,Bachelor's,9,"""Java / Spring""",Software Engineer,Rejected,73.0,Not Hired,109069.0,0,0,72.0,36
1018,Candidate_18,39,Male,Master's,9,"""Java / Spring""",Software Engineer,Pending,94.0,Not Hired,30341.0,8,1,77.0,24
1019,Candidate_19,36,Female,Bachelor's,5,"""Data Science / ML""",HR Manager,Pending,54.0,Not Hired,97434.0,2,0,57.0,25
1020,Candidate_20,41,Non-Binary,Master's,20,"""HR / Management""",Marketing Specialist,Pending,52.0,Not Hired,33641.0,5,2,66.0,16
1021,Candidate_21,31,Male,Bachelor's,16,"""Python / SQL""",Marketing Specialist,Accepted,69.0,Not Hired,99216.0,8,4,58.0,50
1022,Candidate_22,43,Non-Binary,Bachelor's,9,"""Data Science / ML""",Data Analyst,Accepted,86.0,Hired,82669.0,0,5,100.0,55
1023,Candidate_23,28,Female,Bachelor's,5,"""Java / Spring""",Data Analyst,Rejected,51.0,Not Hired,96408.0,6,1,66.0,25
1024,Candidate_24,27,Male,Master's,0,"""Java / Spring""",HR Manager,Rejected,99.0,Not Hired,32109.0,2,0,80.0,37
1025,Candidate_25,24,Female,PhD,10,"""HR / Management""",Marketing Specialist,Rejected,79.0,Not Hired,38150.0,9,4,54.0,52
1026,Candidate_26,25,Female,Bachelor's,17,"""Java / Spring""",Data Analyst,Rejected,98.0,Not Hired,75583.0,10,3,52.0,45
